"ID","Category","Severity","Effort","Location","Finding","Why it holds the project back","Suggested change","Verified","Outcome"
"P2","Performance (runtime)","Medium","S","wasm/sim.c sort_by_fitness()","Selection sorts the population with an insertion sort - O(n^2).","At the new default of 500 cars that is up to ~125,000 comparisons every generation, on the critical path between generations. It will get worse if the population cap is ever raised.","Swap in a proper O(n log n) sort, or just partial-select the top 20% that is actually used.","Yes - read the code","Fixed — heapsort"
"P3","Performance (runtime)","Medium","S","script.js loop()","updateUI() and draw() run on every animation frame even when the simulation is paused or nothing has changed.","Burns a full 500-car canvas redraw 60 times a second while the user is just reading the screen or editing settings.","Skip the redraw when paused and nothing moved (dirty flag), as is already done for the stats text.","Yes - read the code","Fixed — 30fps cap, dirty-checked, nothing drawn in hyper mode"
"P4","Performance (runtime)","Medium","M","script.js draw()","Each car is drawn with save/translate/rotate/scale/4x fillRect/restore - roughly 3,000+ canvas state operations per frame at 500 cars.","Canvas state changes are the expensive part; this is the bulk of per-frame main-thread cost in normal mode.","Pre-render one car sprite to an offscreen canvas and drawImage it with a transform, or batch cars by colour into single paths.","Yes - read the code","Fixed — cached sprite per livery, one drawImage per car"
"P5","Performance (runtime)","Medium","S","engine.js run() / _handleWorkerMessage","Every frame is a hard synchronisation barrier: the main thread waits for ALL workers before drawing.","The slowest worker gates every frame, so one busy core stalls the whole simulation. Adds latency proportional to the worst worker, every single step.","Let workers run ahead asynchronously and draw the most recent state each worker reported, or double-buffer so one chunk is computed while the previous is drawn.","Yes - read the code","Fixed — next chunk starts before the repaint"
"P6","Performance (runtime)","Low","S","sim-worker.js run case","Each worker allocates a fresh typed array via .slice() for the render buffer every step before transferring it.","60 allocations per second per worker of up to ~36KB, all of it immediately garbage. Avoidable GC pressure on a hot path.","Keep two preallocated transfer buffers per worker and alternate (the transfer detaches one while the other fills).","Yes - read the code","Fixed — transfer buffers ping-pong between main thread and worker"
"P7","Performance (runtime)","Low","S","script.js _makeCarRecord()","Every generation rebuilds 500 car record objects, each with two fresh Float32Arrays, plus a template-string HSL colour per car.","1,500 allocations and 500 string builds per generation, all discarded next generation. Small next to the sim, but it is pure churn on the main thread at exactly the moment the generation changes.","Reuse the existing car records in place - only the colour and the reset values actually change.","Yes - read the code","Fixed — records reused in place, colours stable per slot"
"P8","Performance (runtime)","Low","S","script.js getSpectatedCar()","Called from draw() every frame and does a full .reduce() over all 500 cars to find the fittest.","An O(n) scan 60 times a second to update one telemetry panel. The fittest car changes rarely.","Recompute only when results are applied (once per step), not once per rendered frame.","Yes - read the code","Fixed — picked once per applied round"
"P9","Performance (runtime)","Low","S","script.js draw() telemetry block","Five telemetry bar widths plus a label string are written to the DOM on every animation frame.","Each style.width write can invalidate layout; doing it 60x/sec for bars that move slightly is measurable on weaker hardware, and this file already fixed exactly this class of bug once (lucide.createIcons per frame).","Only write when the rounded value actually changes, like the existing _ui_gen/_ui_alive dirty checks.","Yes - read the code","Fixed — dirty-checked"
"P10","Performance (runtime)","Low","S","wasm/sim.c updateCar() sensors","Each sensor result is stored twice - once in car_sensors[] and once in car_in[] - with identical values.","7 redundant float stores per living car per frame, and ~14KB of duplicated state per instance. car_sensors exists only to draw the spectated car's sensor overlay.","Write once into car_in and have write_render read from there.","Yes - read the code","Fixed — sensors stored once"
"P11","Performance (runtime)","Low","S","wasm/sim.c evolve()","The whole brain array is copied back float-by-float in a scalar loop at the end of every generation.","At 500 cars x 386 floats that is ~193,000 individual float copies per generation where a bulk copy would do.","Use the existing memcpy helper, or swap the brains/brains_next pointers instead of copying at all.","Yes - read the code","Fixed — buffers swapped, only the stash copied"
"P12","Performance (runtime)","Low","M","wasm/sim.c MAX_SCRATCH","Eight static scratch arrays of 16,384 floats each = ~512KB of broad-phase scratch per wasm instance, multiplied by (number of workers + 1) instances.","On an 8-core machine that is ~4.6MB of mostly-untouched static memory. Harmless on desktop, wasteful on a phone.","Size the scratch to the actual maximum wall count a track can produce, which is already bounded.","Yes - read the code","Fixed — scratch 16384 -> 4096"
"L1","Performance (load)","High","M","external/lucide.min.js (399KB), index.html","399KB of icon library is loaded on every page load to render 23 static icons, exactly once, at startup.","It is the single largest file the page downloads and it draws two dozen small glyphs. The codebase already inlines SVGs elsewhere (SVG_PLAY/SVG_PAUSE) specifically to avoid this library on hot paths - the same reasoning applies to the other 23.","Inline the 23 SVGs at build/author time and delete lucide.min.js entirely. Saves ~399KB per load with no visual change.","Yes - measured file size, counted icons","Fixed — 23 icons inlined, lucide.min.js deleted (-399KB)"
"L2","Performance (load)","High","M","external/tailwind.js (407KB), index.html","The page loads the Tailwind browser build, which is a full CSS JIT compiler that scans the DOM and generates stylesheets at runtime on every page load.","407KB download plus real CPU work before the page can paint - on a static site whose classes never change after authoring. This is Tailwind's explicitly not-for-production path.","Generate the CSS once and ship the resulting stylesheet (typically a few KB for a page this size). Saves ~400KB and the startup compile.","Yes - measured file size","Fixed — prebuilt stylesheet, tailwind.js deleted (-407KB); screenshots byte-identical"
"L3","Performance (load)","Medium","M","external/chart.js (208KB), script.js initChart()","208KB charting library for one line chart of two series.","It is 20% of the page weight for a graph that could be ~50 lines of canvas drawing - and the page already owns a canvas renderer.","Draw the fitness chart directly on a small canvas, or switch to a minimal charting library.","Yes - measured file size","Fixed — canvas renderer, chart.js deleted (-208KB)"
"L4","Performance (load)","High","S","index.html meta, engine.js _compile()","Cache-Control: no-store on the document plus cache: 'no-store' on the wasm fetch means ~1MB of third-party JS and ~48KB of wasm are re-downloaded AND the wasm recompiled on every single load.","Every reload pays full download and compile cost. This was added to fight a stale-deploy problem, but it is a blunt instrument aimed at the wrong layer - it penalises every visit forever to solve a deploy-freshness issue.","Cache assets normally and bust the cache with content-hashed filenames (or a query string tied to the build stamp that already exists in version.json).","Yes - read the code","Fixed — assets versioned by ?v= and cacheable; page itself still no-store"
"U1","UX / product fit","High","M","script.js wipeStorage()","On every load the app actively clears localStorage, sessionStorage, Cache Storage and unregisters service workers.","Directly fights the project's own goal. The point is to train an AI over a long session, yet a refresh - or an accidental tab close - destroys the trained population, every custom track, and all slider settings. 'Save AI' exports one brain; there is no way to save a population, and custom tracks can only be recovered by pasting generated code into tracks.js.","Keep the storage wipe only for data written by older builds (version-keyed), and persist settings, custom tracks and optionally the population. Solve staleness with hashed asset URLs instead.","Yes - read the code","Fixed — Wipe All Data & Reload button in settings"
"U2","UX / product fit","Medium","M","index.html, script.js editor, wasm/sim.c zones","The entire zone system (speed / precision / focus / spawnkill, editor UI, per-car-per-frame evaluation in wasm) is used by exactly ZERO of the 25 built-in tracks.","Dead weight in the hot loop (a zone distance check per car per frame), in the editor UI, in the track format, and in the worker message protocol - for a feature nothing ships with and which, because custom tracks do not survive a reload (U1), almost nobody will ever persist.","Either ship built-in tracks that actually use zones and justify the cost, or remove the system. Do not leave it half-alive.","Yes - grepped tracks.js for zone usage","Left alone (not on your list)"
"U3","UX / product fit","Medium","S","script.js saveBrain()","The only way to keep training progress is downloading a single best brain as JSON.","Loading it re-seeds the whole population from mutated copies of that one brain, so all the diversity the run built up is thrown away. Resuming a long run is not really possible.","Add population export/import (the brains are already one contiguous Float32Array - it is nearly free).","Yes - read the code","Fixed — Save/Load Session carries the whole population, counters and graph"
"U4","UX / product fit","Low","S","index.html, script.js","Two overlapping speed controls: the Simulation Speed slider (1-10 steps per frame) and Hyper Mode (2,500 steps per chunk, no rendering).","The slider's range is so far below Hyper Mode's that the middle ground is missing, and the relationship between the two is not explained anywhere in the UI.","Make it one control - a speed scale where the top end simply stops rendering - or document the split.","Yes - read the code","Left alone (not on your list)"
"U5","UX / product fit","Low","S","index.html settings, wasm/sim.c cfg_initialTTL","Initial TTL defaults to 750 and goes up to 10,000 frames.","Now that a car with no momentum is eliminated immediately, TTL only catches cars that ARE moving but not reaching gates. A 10,000-frame TTL lets one such car hold up a whole generation for a very long time.","Lower the maximum, or make TTL reset-on-gate the only mechanism and drop the slider.","Yes - read the code","Fixed — a gate resets TTL in full"
"D1","Dead code","Low","S","wasm/sim.c","Four exported wasm functions are never called from anywhere - not engine.js, not sim-worker.js, not any test: car_count, get_order, seed_rng, track_width_max.","Dead API surface that still has to be kept working and still ships in the binary.","Delete them, or wire up the ones that were meant to be used.","Yes - cross-referenced every export against all JS","Fixed — four dead exports removed"
"D2","Dead code","Low","S","script.js line 829-832","The comment '--- Mobile/Desktop Track Editor ---' appears three times in a row.","Pure copy-paste leftover; a reader assumes three sections follow.","Delete two of them.","Yes - read the code","Fixed"
"D3","Dead code","Low","S","wasm/sim.c evolve()","Parent index is computed as (int)(rnd01() * poolSize) % poolSize - the modulo can never do anything because rnd01() is always < 1.","Misleading defensive code; suggests the author was unsure of the RNG's range.","Drop the redundant modulo.","Yes - read the code","Fixed"
"D4","Maintenance burden","Medium","M","tools/reference-worker.mjs","The JS mirror of the physics has to be hand-edited to match wasm/sim.c on every physics change, or the parity test starts failing for the wrong reason.","Two implementations of the same formulas that can silently drift. It already stopped being 'a verbatim copy of the archived JS edition' this session and is now a second thing to maintain.","Either generate it from sim.c, narrow the parity test to geometry only (where the JS side is stable), or accept it and note it as deliberate duplication.","Yes - changed it by hand this session","Fixed — JS physics mirror retired; bench now scalar vs SIMD"
"D5","Maintenance burden","Low","M","index.html","68 inline event handlers (35 onclick, 17 oninput, 11 onmouseenter, 11 onmouseleave, 5 onchange) hard-wire markup to global function names.","Every rename in script.js has to be mirrored by hand in the HTML with no tooling to catch a miss - a typo fails silently at click time. Also blocks adding a Content-Security-Policy.","Bind listeners in script.js by id/data-attribute at init.","Yes - counted them","Fixed — 82 inline handlers replaced with declarative, eval-free bindings"
"C1","Correctness","Low","S","script.js getSpectatedCar()","The .reduce() that picks the fittest live car seeds the accumulator with cars[0], and the !c.crashed test is only applied to the candidate, not to the seed.","If car 0 is crashed and no living car has higher fitness than it, the function returns a crashed car - the telemetry panel then tracks a wreck.","Seed with the first non-crashed car, or filter before reducing.","Yes - read the code","Fixed — seeded with a live car"
"C2","Correctness","Low","S","wasm/sim.c updateCar()","The speed and relative-gate-angle inputs (in[7], in[8]) are only written when relCP is non-null; otherwise the previous frame's values are left in place.","A car with no valid next gate feeds the network stale inputs rather than a defined value. Rare, but it is silent when it happens.","Write explicit zeroes in the else branch.","Yes - read the code","Fixed — inputs written unconditionally"
"X1","Inconsistency","Low","S","script.js SETTING_DESCRIPTIONS.mutationRate","The Mutation Rate tooltip still says '15-25% provides excellent exploratory learning' while the default is now 30%.","The UI recommends against its own default.","Update the copy to match the new default (or explain why 30% was chosen).","Yes - read the code","Fixed"
"X2","Docs","Low","S","README.md line 30","README says sim.c is 'about 1200 lines of C'. It is 2,039.","Understates the size of the thing a contributor has to read by ~40%.","Update, or drop the number so it cannot go stale again.","Yes - counted lines","Fixed"
"X3","Docs","Low","S","README.md lines 47-48","README's table lists sim.wasm at ~34KB and sim-simd.wasm at ~38KB. Actual: 43KB and 48KB.","Same class of stale hand-maintained number the version scheme was built to eliminate.","Generate these in CI, or drop the exact figures.","Yes - measured","Fixed"
"X4","Docs","Low","S","README.md line 2","The subtitle line '(Replacement for [TrackML JS](...)' is missing its closing parenthesis.","Renders with a stray '(' on the project's front page.","Add the ')'.","Yes - read the file","Fixed"
"X5","Docs","Low","S","README.md Overview","The Overview says the AI has 'four primary control axes: Gas, Brake, Steer Left, Steer Right'. The network actually has two outputs (steer, throttle), where throttle's sign selects gas vs brake.","Describes an architecture the code does not have - misleading to anyone reading before the code.","Describe it as two analog outputs that map onto four behaviours.","Yes - read both","Fixed"
"I1","CI / deploy","High","S","GitHub repo settings (not in the repo)","GitHub Pages still has a branch-based source pointing at main, running in parallel with the Actions-based deploy.yml. A push to main triggers GitHub's own native Pages build, which republishes main's raw files WITHOUT the generated version.json and clobbers the real deploy.","It silently wiped version.json off the live site during this session and failed the deploy workflow. Any future push to main can do it again - the version display and the deploy-verification job both depend on that file.","Settings > Pages > Build and deployment > Source > GitHub Actions. Requires repo admin; cannot be changed from here.","Yes - reproduced live this session","Fixed by the repo owner (Pages source switched to GitHub Actions)"
"I2","CI / deploy","Medium","S","Session workflow (both branches)","Every change is pushed to both main and claude/trackml-webassembly-port-rkvuac, which are kept byte-identical.","Doubles every CI run for no benefit, and is what triggers the native Pages build in I1. It also made the version-monotonicity check fail the first time the two branches genuinely diverged.","Pick one branch as the deploy branch and let the other follow (or delete it).","Yes - observed this session","In progress — everything pushed to main; deleting the claude/ branch needs the default branch switched first"
"I3","CI / deploy","Medium","S",".github/workflows/deploy.yml verify-live","verify-live polls the live URL 20 times at 15s intervals - a full 5 minutes of CI wall time before it gives up.","When the deploy is genuinely broken (see I1) every attempt costs 5 minutes before reporting it.","Back off exponentially and fail earlier, or distinguish 'site 404s entirely' (fail fast) from 'site serves an older commit' (keep waiting).","Yes - read the logs this session","Fixed — exponential backoff, 12 attempts"
"I4","CI / deploy","Low","S",".github/workflows/test.yml","Playwright plus a Chromium download is installed from scratch on every CI run.","Dominates the test job's wall time; the actual tests take seconds.","Cache the Playwright browser directory between runs with actions/cache.","Yes - read the workflow","Fixed — Playwright browser cached"
"I5","CI / deploy","Low","M","wasm/*.wasm committed + CI byte-diff","Both wasm binaries are committed and CI fails if a rebuild does not reproduce them byte-for-byte.","Justified (Pages serves the repo as-is), but it pins the project to one exact clang version forever - a CI image upgrade that changes codegen will fail the build with a confusing diff rather than a compiler message.","Pin the clang version explicitly in CI so the eventual failure is legible, or build in CI and publish the artifact instead of committing it.","Yes - read the workflow","Fixed — clang pinned to 18"
